datetime_utc,station_name,latitude,longitude,temperature,humidity,rainfall,wind_speed,wind_direction,datetime_ist
2026-06-04 00:00:00,Byrnihat,26.0715,91.8746,25.05,86.14,0.12,1.96,194.7,2026-06-04 05:30:00
2026-06-04 01:00:00,Byrnihat,26.0715,91.8746,26.62,77.27,0.03,2.44,206.8,2026-06-04 06:30:00
2026-06-04 02:00:00,Byrnihat,26.0715,91.8746,28.9,66.35,0.0,3.06,230.8,2026-06-04 07:30:00
2026-06-04 03:00:00,Byrnihat,26.0715,91.8746,30.6,60.38,0.04,3.42,246.6,2026-06-04 08:30:00
2026-06-04 04:00:00,Byrnihat,26.0715,91.8746,31.91,56.38,0.48,3.6,254.2,2026-06-04 09:30:00
2026-06-04 05:00:00,Byrnihat,26.0715,91.8746,32.78,53.67,1.88,3.7,257.1,2026-06-04 10:30:00
2026-06-04 06:00:00,Byrnihat,26.0715,91.8746,33.1,52.46,2.06,3.85,257.6,2026-06-04 11:30:00
2026-06-04 07:00:00,Byrnihat,26.0715,91.8746,33.34,51.85,1.49,4.01,257.9,2026-06-04 12:30:00
2026-06-04 08:00:00,Byrnihat,26.0715,91.8746,33.29,51.83,1.58,4.0,258.5,2026-06-04 13:30:00
2026-06-04 09:00:00,Byrnihat,26.0715,91.8746,32.81,53.57,1.09,3.68,257.4,2026-06-04 14:30:00
2026-06-04 10:00:00,Byrnihat,26.0715,91.8746,32.21,57.38,0.66,3.07,259.1,2026-06-04 15:30:00
2026-06-04 11:00:00,Byrnihat,26.0715,91.8746,31.13,65.88,3.1,2.04,264.7,2026-06-04 16:30:00
2026-06-04 12:00:00,Byrnihat,26.0715,91.8746,29.51,77.45,7.2,1.44,269.2,2026-06-04 17:30:00
2026-06-04 13:00:00,Byrnihat,26.0715,91.8746,28.52,80.16,5.3,1.22,269.1,2026-06-04 18:30:00
2026-06-04 14:00:00,Byrnihat,26.0715,91.8746,28.49,75.08,7.18,0.55,246.3,2026-06-04 19:30:00
2026-06-04 15:00:00,Byrnihat,26.0715,91.8746,27.38,82.47,6.51,0.85,157.1,2026-06-04 20:30:00
2026-06-04 16:00:00,Byrnihat,26.0715,91.8746,26.3,88.21,5.5,1.4,150.9,2026-06-04 21:30:00
2026-06-04 17:00:00,Byrnihat,26.0715,91.8746,25.64,89.62,8.72,1.54,160.6,2026-06-04 22:30:00
2026-06-04 18:00:00,Byrnihat,26.0715,91.8746,25.18,90.67,12.34,1.55,182.2,2026-06-04 23:30:00
2026-06-04 19:00:00,Byrnihat,26.0715,91.8746,24.83,91.43,14.63,1.57,199.7,2026-06-05 00:30:00
2026-06-04 20:00:00,Byrnihat,26.0715,91.8746,24.51,92.19,9.91,1.59,206.6,2026-06-05 01:30:00
2026-06-04 21:00:00,Byrnihat,26.0715,91.8746,24.26,92.59,4.57,1.51,210.1,2026-06-05 02:30:00
2026-06-04 22:00:00,Byrnihat,26.0715,91.8746,24.11,92.15,2.79,1.31,206.2,2026-06-05 03:30:00
2026-06-04 23:00:00,Byrnihat,26.0715,91.8746,24.1,91.88,2.04,1.02,187.9,2026-06-05 04:30:00
2026-06-05 00:00:00,Byrnihat,26.0715,91.8746,24.88,88.01,0.19,1.12,164.0,2026-06-05 05:30:00
2026-06-05 01:00:00,Byrnihat,26.0715,91.8746,26.14,80.54,0.03,1.2,170.9,2026-06-05 06:30:00
2026-06-05 02:00:00,Byrnihat,26.0715,91.8746,28.27,68.92,0.05,1.11,216.6,2026-06-05 07:30:00
2026-06-05 03:00:00,Byrnihat,26.0715,91.8746,30.39,59.82,0.17,1.54,259.1,2026-06-05 08:30:00
2026-06-05 04:00:00,Byrnihat,26.0715,91.8746,31.9,54.44,1.64,1.95,268.8,2026-06-05 09:30:00
2026-06-05 05:00:00,Byrnihat,26.0715,91.8746,32.8,51.59,3.12,2.3,264.0,2026-06-05 10:30:00
2026-06-05 06:00:00,Byrnihat,26.0715,91.8746,33.42,49.87,2.46,2.61,260.3,2026-06-05 11:30:00
2026-06-05 07:00:00,Byrnihat,26.0715,91.8746,33.75,48.98,1.66,2.78,257.8,2026-06-05 12:30:00
2026-06-05 08:00:00,Byrnihat,26.0715,91.8746,33.72,49.31,1.28,2.88,257.4,2026-06-05 13:30:00
2026-06-05 09:00:00,Byrnihat,26.0715,91.8746,33.38,50.78,0.97,2.8,258.4,2026-06-05 14:30:00
2026-06-05 10:00:00,Byrnihat,26.0715,91.8746,32.64,54.82,1.93,2.38,265.9,2026-06-05 15:30:00
2026-06-05 11:00:00,Byrnihat,26.0715,91.8746,31.42,61.62,6.3,1.85,275.9,2026-06-05 16:30:00
2026-06-05 12:00:00,Byrnihat,26.0715,91.8746,29.82,74.38,5.74,1.03,301.1,2026-06-05 17:30:00
2026-06-05 13:00:00,Byrnihat,26.0715,91.8746,28.76,78.42,4.33,0.73,342.6,2026-06-05 18:30:00
2026-06-05 14:00:00,Byrnihat,26.0715,91.8746,28.32,75.78,3.31,0.41,39.1,2026-06-05 19:30:00
2026-06-05 15:00:00,Byrnihat,26.0715,91.8746,27.29,82.1,1.92,0.7,119.1,2026-06-05 20:30:00
2026-06-05 16:00:00,Byrnihat,26.0715,91.8746,26.38,86.72,0.57,1.17,134.0,2026-06-05 21:30:00
2026-06-05 17:00:00,Byrnihat,26.0715,91.8746,25.73,88.7,0.95,1.38,137.6,2026-06-05 22:30:00
2026-06-05 18:00:00,Byrnihat,26.0715,91.8746,25.31,89.51,1.7,1.41,142.8,2026-06-05 23:30:00
2026-06-05 19:00:00,Byrnihat,26.0715,91.8746,24.97,89.9,2.05,1.33,146.7,2026-06-06 00:30:00
2026-06-05 20:00:00,Byrnihat,26.0715,91.8746,24.71,89.99,1.72,1.23,147.0,2026-06-06 01:30:00
2026-06-05 21:00:00,Byrnihat,26.0715,91.8746,24.49,89.91,2.57,1.09,144.7,2026-06-06 02:30:00
2026-06-05 22:00:00,Byrnihat,26.0715,91.8746,24.18,90.84,3.32,1.0,148.5,2026-06-06 03:30:00
2026-06-05 23:00:00,Byrnihat,26.0715,91.8746,24.0,92.44,5.06,0.95,155.1,2026-06-06 04:30:00
2026-06-06 00:00:00,Byrnihat,26.0715,91.8746,24.9,89.31,1.15,1.04,153.7,2026-06-06 05:30:00
2026-06-06 01:00:00,Byrnihat,26.0715,91.8746,26.55,79.82,0.3,0.83,158.7,2026-06-06 06:30:00
2026-06-06 02:00:00,Byrnihat,26.0715,91.8746,28.95,67.17,1.39,0.77,255.8,2026-06-06 07:30:00
2026-06-06 03:00:00,Byrnihat,26.0715,91.8746,30.65,59.7,2.02,1.84,282.9,2026-06-06 08:30:00
2026-06-06 04:00:00,Byrnihat,26.0715,91.8746,31.8,55.72,2.51,2.46,283.6,2026-06-06 09:30:00
2026-06-06 05:00:00,Byrnihat,26.0715,91.8746,32.64,53.23,3.05,2.82,280.8,2026-06-06 10:30:00
2026-06-06 06:00:00,Byrnihat,26.0715,91.8746,33.13,51.89,2.55,3.08,277.1,2026-06-06 11:30:00
2026-06-06 07:00:00,Byrnihat,26.0715,91.8746,33.32,51.28,1.25,3.21,273.9,2026-06-06 12:30:00
2026-06-06 08:00:00,Byrnihat,26.0715,91.8746,33.25,51.63,1.61,3.19,271.6,2026-06-06 13:30:00
2026-06-06 09:00:00,Byrnihat,26.0715,91.8746,33.0,52.69,1.59,3.06,269.1,2026-06-06 14:30:00
2026-06-06 10:00:00,Byrnihat,26.0715,91.8746,32.23,56.73,3.45,2.62,269.6,2026-06-06 15:30:00
2026-06-06 11:00:00,Byrnihat,26.0715,91.8746,30.96,65.0,5.12,1.9,274.8,2026-06-06 16:30:00
2026-06-06 12:00:00,Byrnihat,26.0715,91.8746,29.34,78.96,6.76,1.16,288.6,2026-06-06 17:30:00
2026-06-06 13:00:00,Byrnihat,26.0715,91.8746,28.32,82.85,2.98,0.95,310.7,2026-06-06 18:30:00
2026-06-06 14:00:00,Byrnihat,26.0715,91.8746,28.07,78.78,2.33,0.62,336.3,2026-06-06 19:30:00
2026-06-06 15:00:00,Byrnihat,26.0715,91.8746,27.82,77.43,0.71,0.21,100.8,2026-06-06 20:30:00
2026-06-06 16:00:00,Byrnihat,26.0715,91.8746,26.68,84.21,2.24,0.88,140.5,2026-06-06 21:30:00
2026-06-06 17:00:00,Byrnihat,26.0715,91.8746,25.88,88.93,4.33,1.23,142.9,2026-06-06 22:30:00
2026-06-06 18:00:00,Byrnihat,26.0715,91.8746,25.28,91.08,5.68,1.38,152.9,2026-06-06 23:30:00
2026-06-06 19:00:00,Byrnihat,26.0715,91.8746,24.84,92.47,5.81,1.46,164.1,2026-06-07 00:30:00
2026-06-06 20:00:00,Byrnihat,26.0715,91.8746,24.5,93.19,5.66,1.49,173.8,2026-06-07 01:30:00
2026-06-06 21:00:00,Byrnihat,26.0715,91.8746,24.2,93.79,5.5,1.48,177.3,2026-06-07 02:30:00
2026-06-06 22:00:00,Byrnihat,26.0715,91.8746,24.0,94.03,4.08,1.4,176.3,2026-06-07 03:30:00
2026-06-06 23:00:00,Byrnihat,26.0715,91.8746,24.03,94.35,2.9,1.22,170.5,2026-06-07 04:30:00
2026-06-07 00:00:00,Byrnihat,26.0715,91.8746,25.18,89.49,1.52,1.21,166.6,2026-06-07 05:30:00
2026-06-07 01:00:00,Byrnihat,26.0715,91.8746,26.8,81.69,1.1,1.03,205.3,2026-06-07 06:30:00
2026-06-07 02:00:00,Byrnihat,26.0715,91.8746,29.1,70.39,1.65,1.64,258.4,2026-06-07 07:30:00
2026-06-07 03:00:00,Byrnihat,26.0715,91.8746,30.67,63.03,4.02,2.33,268.5,2026-06-07 08:30:00
2026-06-07 04:00:00,Byrnihat,26.0715,91.8746,31.75,59.06,4.86,2.57,275.6,2026-06-07 09:30:00
2026-06-07 05:00:00,Byrnihat,26.0715,91.8746,32.08,57.95,8.48,2.68,282.3,2026-06-07 10:30:00
2026-06-07 06:00:00,Byrnihat,26.0715,91.8746,32.42,57.08,5.85,2.56,278.5,2026-06-07 11:30:00
2026-06-07 07:00:00,Byrnihat,26.0715,91.8746,32.67,56.17,5.09,2.64,267.0,2026-06-07 12:30:00
2026-06-07 08:00:00,Byrnihat,26.0715,91.8746,32.99,55.1,3.93,2.88,253.6,2026-06-07 13:30:00
2026-06-07 09:00:00,Byrnihat,26.0715,91.8746,32.84,55.48,4.58,3.17,243.2,2026-06-07 14:30:00
2026-06-07 10:00:00,Byrnihat,26.0715,91.8746,31.84,60.14,16.05,3.18,241.7,2026-06-07 15:30:00
2026-06-07 11:00:00,Byrnihat,26.0715,91.8746,30.42,69.66,7.74,2.36,242.8,2026-06-07 16:30:00
2026-06-07 12:00:00,Byrnihat,26.0715,91.8746,28.88,80.77,7.51,1.66,238.8,2026-06-07 17:30:00
2026-06-07 13:00:00,Byrnihat,26.0715,91.8746,27.65,86.08,12.07,1.73,225.0,2026-06-07 18:30:00
2026-06-07 14:00:00,Byrnihat,26.0715,91.8746,26.96,87.03,32.51,2.01,210.8,2026-06-07 19:30:00
2026-06-07 15:00:00,Byrnihat,26.0715,91.8746,26.31,86.88,49.85,2.66,205.1,2026-06-07 20:30:00
2026-06-07 16:00:00,Byrnihat,26.0715,91.8746,25.67,88.0,11.66,2.86,204.8,2026-06-07 21:30:00
2026-06-07 17:00:00,Byrnihat,26.0715,91.8746,25.14,89.04,3.5,2.72,206.7,2026-06-07 22:30:00
2026-06-07 18:00:00,Byrnihat,26.0715,91.8746,24.66,90.49,4.96,2.63,208.4,2026-06-07 23:30:00
2026-06-07 19:00:00,Byrnihat,26.0715,91.8746,24.24,92.28,1.27,2.38,208.6,2026-06-08 00:30:00
2026-06-07 20:00:00,Byrnihat,26.0715,91.8746,23.9,93.65,0.34,2.13,208.4,2026-06-08 01:30:00
2026-06-07 21:00:00,Byrnihat,26.0715,91.8746,23.65,94.76,0.37,1.92,208.7,2026-06-08 02:30:00
2026-06-07 22:00:00,Byrnihat,26.0715,91.8746,23.46,95.5,0.23,1.76,213.0,2026-06-08 03:30:00
2026-06-07 23:00:00,Byrnihat,26.0715,91.8746,23.52,95.79,0.28,1.58,224.7,2026-06-08 04:30:00
2026-06-08 00:00:00,Byrnihat,26.0715,91.8746,24.8,89.98,0.25,2.12,239.5,2026-06-08 05:30:00
2026-06-08 01:00:00,Byrnihat,26.0715,91.8746,26.26,82.46,0.12,2.66,245.6,2026-06-08 06:30:00
2026-06-08 02:00:00,Byrnihat,26.0715,91.8746,28.0,73.52,1.64,2.91,250.5,2026-06-08 07:30:00
2026-06-08 03:00:00,Byrnihat,26.0715,91.8746,29.36,66.98,4.55,2.91,255.2,2026-06-08 08:30:00
2026-06-08 04:00:00,Byrnihat,26.0715,91.8746,30.49,62.84,4.73,2.94,255.6,2026-06-08 09:30:00
2026-06-08 05:00:00,Byrnihat,26.0715,91.8746,31.6,59.28,4.43,2.94,254.0,2026-06-08 10:30:00
2026-06-08 06:00:00,Byrnihat,26.0715,91.8746,32.49,56.56,3.16,3.05,254.2,2026-06-08 11:30:00
